HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Feyenoord,FC Emmen,4,0,61%,39%,22,10,5,3,11,2,1,1,586,386,18,5,511 (87%),297 (76%),8 (30%),0 (0%),15 (34%),27 (39%),14,27,9,14,6,20,1,3,4
Vitesse (Arnhem),FC Waalwijk,2,2,58%,42%,25,10,8,1,1,0,10,4,422,311,17,8,323 (76%),207 (66%),9 (39%),2 (22%),33 (44%),23 (28%),22,20,10,18,14,33,3,6,0
Go Eagles FC Ehead,Sparta (Rotterdam),0,1,45%,55%,11,16,3,2,5,7,0,1,409,496,6,14,324 (79%),396 (79%),2 (9%),8 (42%),40 (50%),62 (52%),20,16,5,14,16,22,4,6,-1
NEC (NEC),FC Groningen,1,1,56%,44%,16,15,5,2,7,6,1,1,440,339,11,14,381 (86%),278 (82%),4 (28%),5 (33%),32 (62%),33 (55%),18,15,10,13,11,16,5,6,0
Twente (Enschede),Excelsior,4,0,54%,46%,11,1,4,1,4,0,4,468,468,400,7,8,362 (77%),288 (72%),4 (30%),4 (40%),35 (35%),36 (36%),13,18,21,17,11,14,2,2,4
PSV (Eindhoven),FC Volendam,7,1,65%,35%,25,16,2,3,1,0,10,3,580,301,22,5,514 (88%),233 (77%),10 (37%),2 (14%),39 (68%),23 (29%),13,22,9,13,16,22,3,11,6
FC Waalwijk,Feyenoord,0,1,40%,60%,10,18,3,4,0,1,6,8,349,547,10,12,265 (75%),471 (86%),10 (47%),2 (12%),36 (40%),19 (44%),21,25,11,8,19,21,7,4,-1
Sparta (Rotterdam),Ajax,0,1,34%,66%,14,1,5,2,7,1,2,1,329,640,7,10,250 (75%),548 (85%),4 (30%),6 (31%),37 (44%),40 (55%),15,19,6,6,14,16,2,5,-1
FC Groningen,Go Eagles FC Ehead,1,0,52%,48%,1,3,5,4,1,2,2,2,404,380,8,6,330 (81%),286 (75%),6 (27%),4 (25%),68 (60%),27 (42%),18,11,11,8,15,14,3,2,1
FC Emmen,FC Utrecht,3,2,56%,44%,13,2,3,6,6,1,1,552,552,410,11,8,441 (79%),314 (76%),3 (25%),7 (25%),36 (36%),26 (33%),17,16,7,11,24,19,2,4,1
Fortuna (Sittard),Cambuur (Leeuwarden),1,4,43%,57%,19,16,6,4,6,5,1,3,318,415,16,11,232 (72%),338 (81%),9 (56%),2 (10%),39 (49%),40 (45%),15,16,14,11,15,16,4,5,-3
Vitesse (Arnhem),FC Heerenveen,0,4,52%,48%,13,1,3,3,4,0,1,3,432,390,3,10,330 (76%),296 (75%),1 (9%),5 (35%),26 (31%),43 (39%),25,19,10,14,16,17,0,2,-4
Ajax,FC Groningen,6,1,69%,31%,24,11,5,1,1,0,7,3,581,260,20,4,516 (88%),206 (79%),6 (40%),1 (11%),36 (62%),37 (54%),23,20,7,12,4,24,1,5,5
Twente (Enschede),Fortuna (Sittard),3,0,55%,45%,19,2,2,10,1,0,2,1,372,307,16,4,282 (75%),205 (66%),3 (10%),2 (18%),29 (39%),35 (36%),10,16,9,18,15,30,1,4,3
FC Volendam,NEC (NEC),1,4,50%,50%,16,13,5,1,7,6,2,0,392,392,14,11,314 (80%),314 (80%),6 (28%),5 (27%),33 (45%),31 (35%),22,19,9,7,16,21,4,5,-3
Feyenoord,FC Heerenveen,0,0,68%,32%,19,11,2,2,7,2,1,1,695,327,14,6,620 (89%),248 (75%),7 (28%),2 (33%),31 (65%),20 (25%),9,18,4,14,10,26,3,11,0
FC Emmen,FC Waalwijk,1,1,54%,46%,11,12,2,5,3,4,2,3,466,400,10,9,380 (81%),312 (78%),6 (30%),2 (8%),42 (47%),29 (39%),17,15,8,7,14,15,1,4,0
FC Utrecht,Cambuur (Leeuwarden),0,0,47%,53%,15,21,10,3,3,7,4,0,358,416,11,14,251 (70%),324 (77%),6 (28%),7 (28%),40 (48%),47 (60%),13,24,11,8,26,20,10,6,0
Go Eagles FC Ehead,PSV (Eindhoven),2,5,36%,64%,11,23,11,2,7,6,6,3,272,647,10,17,194 (71%),574 (88%),6 (35%),7 (38%),34 (39%),41 (48%),19,17,12,6,24,11,6,2,-3
Excelsior,Vitesse (Arnhem),3,1,40%,60%,11,22,11,1,5,1,8,3,302,453,7,11,217 (71%),361 (79%),3 (25%),8 (26%),45 (50%),33 (46%),18,15,18,11,32,9,5,3,2
Vitesse (Arnhem),Feyenoord,2,5,48%,52%,16,3,4,5,6,4,3,2,438,467,7,14,321 (73%),370 (79%),2 (18%),3 (23%),20 (24%),28 (35%),20,17,6,11,12,10,3,1,-3
NEC (NEC),Twente (Enschede),0,1,41%,59%,11,13,2,5,6,9,2,0,323,471,8,8,230 (71%),354 (75%),4 (26%),4 (15%),32 (34%),34 (37%),14,20,14,10,28,13,1,4,-1
FC Groningen,FC Volendam,2,2,58%,42%,18,11,10,2,4,7,4,4,424,314,14,10,342 (80%),223 (71%),7 (24%),2 (25%),45 (48%),27 (38%),21,17,7,9,9,30,1,4,0
FC Waalwijk,FC Utrecht,2,2,38%,62%,11,11,5,1,3,7,1,0,354,571,9,7,254 (71%),467 (81%),5 (41%),8 (25%),40 (39%),48 (53%),19,14,11,4,23,8,1,1,0
PSV (Eindhoven),FC Emmen,4,1,62%,38%,11,3,0,3,6,1,0,0,693,422,9,5,615 (88%),334 (79%),3 (25%),1 (6%),50 (68%),29 (35%),17,20,8,15,12,18,1,4,3
Cambuur (Leeuwarden),Excelsior,0,2,72%,28%,27,12,7,2,10,3,2,1,626,257,20,4,524 (83%),157 (61%),15 (34%),0 (0%),39 (54%),29 (29%),20,18,12,12,9,44,2,8,-2
Fortuna (Sittard),Ajax,2,3,29%,71%,13,15,3,7,3,10,3,2,214,555,8,11,139 (64%),464 (83%),4 (26%),3 (15%),27 (31%),24 (36%),11,12,20,4,33,11,1,0,-1
FC Heerenveen,Sparta (Rotterdam),0,0,49%,51%,11,13,5,5,3,6,0,2,522,524,6,9,423 (81%),431 (82%),2 (10%),5 (20%),33 (40%),60 (54%),11,14,12,11,26,15,1,2,0
