HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
FC Eypen,Sint-Truidense,0,2,52%,48%,10,2,3,3,3,3,1,1,483,437,4,9,372 (77%),336 (76%),1 (10%),2 (25%),32 (43%),57 (53%),18,17,11,14,6,14,3,3,-2
FC Malinas,KV Oostende,2,1,57%,43%,16,15,4,5,11,1,5,1,421,309,11,14,292 (69%),194 (62%),7 (30%),4 (23%),50 (44%),40 (42%),20,16,13,11,18,20,3,4,1
RFC Seraing,Estándar (Lieja),1,1,33%,67%,16,2,7,3,11,3,2,5,231,464,5,12,151 (65%),367 (79%),3 (27%),5 (20%),25 (29%),19 (44%),20,27,10,6,27,12,0,1,0
FC Westerlo,Oud-Heverlee Leuven,1,2,56%,44%,14,10,4,2,0,1,9,3,491,380,13,7,419 (85%),308 (81%),5 (16%),2 (33%),37 (59%),21 (38%),15,22,12,9,10,22,2,4,-1
Anderlecht (Bryuscel),St. Gilloise,1,3,36%,64%,23,11,3,5,0,6,1,0,302,517,4,17,211 (69%),438 (84%),2 (33%),6 (23%),24 (27%),52 (62%),27,18,12,4,16,12,8,1,-2
FC Zulte Waregem,FC Malinas,2,0,51%,49%,17,5,1,1,0,3,3,3,331,482,7,3,242 (73%),400 (82%),4 (20%),4 (26%),39 (40%),40 (44%),16,20,7,10,19,14,4,2,2
FC Genk,Club Brujas,3,1,52%,48%,12,4,0,5,4,1,2,2,516,412,11,7,439 (85%),337 (81%),2 (20%),0 (0%),33 (56%),15 (42%),11,20,11,13,15,16,3,3,2
Royal Antwerp,Gent,2,0,50%,50%,11,3,1,1,0,3,6,1,398,462,7,6,299 (75%),356 (77%),1 (33%),2 (9%),41 (38%),41 (50%),22,23,13,12,15,12,1,4,2
Cercle Brugge (Brujas),FC Westerlo,0,1,54%,46%,11,2,1,0,1,6,4,3,526,411,8,2,382 (72%),264 (64%),4 (21%),4 (36%),19 (31%),42 (29%),10,15,15,19,8,22,1,5,-1
KV Oostende,RFC Seraing,1,2,60%,40%,17,8,1,5,2,3,4,4,457,274,14,4,338 (73%),171 (62%),5 (26%),0 (0%),30 (34%),25 (32%),18,21,10,16,11,28,0,2,-1
FC Eypen,FC Charleroi,1,2,47%,53%,10,20,10,3,6,5,7,2,364,504,8,15,255 (70%),409 (81%),2 (18%),10 (34%),35 (37%),47 (55%),22,17,11,14,19,11,2,2,-1
Estándar (Lieja),Sint-Truidense,1,1,69%,31%,10,2,1,9,2,5,0,0,610,315,5,7,488 (80%),216 (68%),10 (23%),2 (25%),40 (50%),24 (30%),18,22,11,21,5,32,2,0,0
Sint-Truidense,FC Zulte Waregem,2,0,61%,39%,12,1,2,6,3,3,2,0,613,364,5,3,527 (85%),267 (73%),6 (24%),2 (16%),67 (72%),33 (33%),15,15,13,14,14,20,1,4,2
FC Charleroi,Anderlecht (Bryuscel),0,1,48%,52%,11,4,2,3,0,1,2,2,485,519,9,6,375 (77%),425 (81%),3 (20%),2 (25%),52 (52%),43 (47%),21,18,11,8,9,14,2,2,-1
FC Kortrijk,FC Genk,1,0,44%,56%,18,15,4,3,5,6,2,1,348,440,12,12,250 (71%),343 (77%),4 (26%),7 (38%),42 (43%),40 (54%),31,16,15,6,15,19,5,7,1
St. Gilloise,KV Oostende,3,0,55%,45%,12,3,1,1,0,10,2,1,403,342,7,4,279 (69%),231 (67%),4 (13%),3 (30%),45 (37%),36 (40%),21,21,16,13,6,34,1,2,3
Club Brujas,Oud-Heverlee Leuven,1,1,58%,42%,20,12,7,3,1,0,3,3,493,362,13,6,426 (86%),277 (76%),8 (29%),4 (33%),35 (61%),30 (48%),20,25,10,9,13,21,2,6,0
Gent,Estándar (Lieja),0,0,69%,31%,21,12,4,0,13,1,0,5,589,268,12,1,495 (84%),178 (66%),4 (10%),1 (14%),44 (74%),21 (35%),21,25,16,18,6,42,0,5,0
FC Malinas,Cercle Brugge (Brujas),1,1,68%,32%,20,12,10,6,4,9,8,4,508,230,17,9,392 (77%),123 (53%),4 (28%),3 (16%),50 (41%),16 (22%),12,16,12,18,26,17,3,8,0
RFC Seraing,FC Eypen,0,1,50%,50%,15,4,6,4,9,0,3,3,390,396,5,12,307 (78%),293 (73%),2 (8%),8 (50%),31 (46%),31 (38%),12,19,18,10,20,15,4,1,-1
Anderlecht (Bryuscel),FC Genk,0,2,49%,51%,12,13,3,5,5,6,0,2,485,503,9,11,420 (86%),435 (86%),4 (25%),4 (33%),17 (54%),32 (52%),24,11,9,10,16,13,3,5,-2
Estándar (Lieja),St. Gilloise,2,3,60%,40%,10,13,2,3,2,0,8,4,445,285,8,12,365 (82%),215 (75%),3 (18%),8 (40%),45 (65%),26 (41%),36,41,9,13,9,14,5,3,-1
Club Brujas,Royal Antwerp,2,2,48%,52%,11,2,2,0,1,3,4,2,414,453,7,10,339 (81%),372 (82%),3 (15%),2 (16%),35 (51%),37 (50%),14,15,12,10,15,19,4,3,0
FC Zulte Waregem,FC Eypen,5,5,56%,44%,19,15,1,2,1,0,11,2,429,353,18,10,332 (77%),274 (77%),12 (36%),3 (37%),57 (58%),42 (45%),25,14,8,7,12,32,3,4,0
Sint-Truidense,Cercle Brugge (Brujas),0,1,56%,44%,12,5,1,10,2,3,2,0,386,314,9,5,233 (60%),169 (53%),3 (11%),3 (27%),41 (32%),36 (28%),18,17,10,13,10,32,0,1,-1
FC Westerlo,KV Oostende,6,0,66%,34%,16,4,4,1,0,5,3,6,547,280,9,5,454 (83%),185 (66%),7 (38%),1 (10%),52 (63%),23 (33%),16,19,8,11,12,17,0,2,6
Oud-Heverlee Leuven,RFC Seraing,5,0,70%,30%,25,14,4,1,2,0,14,3,567,244,17,4,501 (88%),181 (74%),6 (25%),1 (12%),52 (74%),28 (41%),13,14,4,12,7,27,1,9,5
Royal Antwerp,Anderlecht (Bryuscel),0,0,49%,51%,14,8,1,4,1,4,2,2,449,521,8,3,351 (78%),443 (85%),8 (47%),1 (20%),43 (50%),47 (61%),23,23,15,15,8,15,1,2,0
St. Gilloise,FC Westerlo,1,1,56%,44%,25,13,12,12,2,10,4,3,508,412,23,12,414 (81%),313 (75%),10 (23%),3 (33%),40 (65%),32 (42%),22,21,9,20,4,26,3,0,0
Gent,Club Brujas,2,0,45%,55%,11,5,1,4,3,4,0,1,379,456,9,7,275 (72%),357 (78%),3 (18%),4 (21%),31 (36%),33 (46%),25,11,7,5,17,11,4,0,2
FC Eypen,Estándar (Lieja),2,0,51%,49%,13,1,1,1,0,7,2,3,456,448,11,6,398 (87%),370 (82%),2 (9%),1 (10%),52 (70%),30 (46%),18,15,12,9,12,9,4,3,2
RFC Seraing,Sint-Truidense,1,2,48%,52%,15,1,4,5,7,3,0,3,406,437,4,8,298 (73%),328 (75%),1 (8%),3 (13%),36 (34%),33 (41%),13,23,8,17,19,7,4,2,-1
Cercle Brugge (Brujas),Oud-Heverlee Leuven,2,1,36%,64%,0,3,6,6,0,1,2,2,249,439,5,7,162 (65%),326 (74%),4 (22%),5 (50%),20 (27%),49 (49%),19,17,14,9,10,16,3,1,1
FC Malinas,FC Zulte Waregem,2,2,61%,39%,21,14,10,4,5,0,1,11,497,316,14,11,402 (80%),216 (68%),7 (28%),7 (38%),40 (46%),31 (43%),10,9,12,13,11,25,4,6,0
FC Genk,FC Charleroi,4,1,52%,48%,13,3,1,1,0,5,4,4,560,509,11,5,489 (87%),430 (84%),3 (23%),2 (11%),42 (61%),49 (66%),14,21,9,13,20,11,1,4,3
Oud-Heverlee Leuven,Gent,1,1,59%,41%,12,10,3,3,1,0,1,6,478,352,9,5,402 (84%),261 (74%),5 (27%),2 (18%),44 (63%),31 (37%),15,21,16,13,11,15,3,4,0
RFC Seraing,St. Gilloise,1,2,42%,58%,13,13,4,3,0,1,6,7,338,478,9,9,247 (73%),378 (79%),6 (35%),5 (25%),36 (41%),40 (57%),19,20,19,18,22,19,1,1,-1
Anderlecht (Bryuscel),FC Eypen,4,2,53%,47%,19,12,4,6,10,4,5,1,482,410,17,11,413 (85%),336 (81%),6 (33%),3 (23%),35 (51%),34 (47%),16,16,9,7,10,17,1,4,2
Club Brujas,KV Oostende,4,2,67%,33%,16,2,2,0,1,4,2,2,645,307,10,2,567 (87%),221 (71%),3 (20%),0 (0%),44 (61%),26 (33%),17,11,14,14,8,13,1,3,2
FC Westerlo,Sint-Truidense,2,3,66%,34%,11,13,3,3,1,1,4,2,574,286,8,9,476 (82%),185 (64%),6 (26%),2 (25%),65 (67%),37 (39%),8,15,14,20,6,23,1,1,-1
FC Kortrijk,Cercle Brugge (Brujas),1,1,58%,42%,14,17,5,6,3,6,3,5,359,267,10,9,234 (65%),152 (56%),5 (50%),5 (25%),62 (52%),33 (39%),12,27,6,9,36,11,2,4,0
FC Zulte Waregem,Estándar (Lieja),0,3,38%,62%,18,1,4,0,1,4,10,3,291,486,4,8,218 (74%),419 (86%),3 (13%),2 (8%),47 (49%),35 (60%),23,10,10,10,22,12,4,3,-3
FC Genk,FC Malinas,3,1,41%,59%,14,10,5,2,8,7,0,2,328,497,11,10,267 (81%),418 (84%),5 (25%),2 (20%),35 (57%),22 (42%),11,15,8,12,11,16,4,3,2
Estándar (Lieja),Anderlecht (Bryuscel),5,0,51%,49%,11,2,2,7,1,0,2,1,288,286,8,3,238 (82%),234 (81%),4 (28%),1 (33%),14 (37%),17 (45%),7,15,6,4,5,20,1,1,5
Gent,RFC Seraing,2,1,65%,35%,13,2,1,0,1,9,3,2,636,338,11,4,539 (84%),256 (75%),10 (40%),0 (0%),43 (69%),29 (41%),26,15,10,13,16,27,2,3,1
Royal Antwerp,FC Genk,1,3,54%,46%,20,12,4,2,8,4,2,3,411,348,13,8,330 (80%),276 (79%),9 (45%),6 (35%),39 (54%),28 (42%),21,17,9,12,9,21,2,3,-2
St. Gilloise,Club Brujas,2,2,31%,69%,13,1,6,0,1,4,4,4,300,708,5,8,227 (75%),635 (89%),3 (16%),4 (25%),29 (40%),58 (65%),9,13,12,8,12,14,0,2,0
FC Malinas,FC Eypen,2,1,47%,53%,20,10,5,4,1,0,7,8,356,394,11,7,255 (71%),294 (74%),5 (29%),6 (25%),24 (27%),43 (52%),16,10,15,8,29,22,1,8,1
Sint-Truidense,Oud-Heverlee Leuven,0,0,45%,55%,13,14,4,3,3,5,2,5,397,482,10,7,320 (80%),407 (84%),8 (44%),2 (11%),52 (57%),41 (53%),13,15,14,6,13,12,2,3,0
FC Kortrijk,FC Westerlo,0,2,45%,55%,18,1,5,6,6,3,0,0,373,458,5,13,300 (80%),388 (84%),6 (33%),5 (27%),49 (52%),62 (68%),11,11,8,2,17,8,3,3,-2
Cercle Brugge (Brujas),FC Charleroi,4,1,51%,49%,20,11,4,6,0,1,6,6,264,372,16,6,163 (61%),254 (68%),3 (25%),2 (18%),26 (33%),41 (45%),17,20,12,7,15,26,2,4,3
Royal Antwerp,KV Oostende,3,0,62%,38%,17,9,1,7,3,2,2,1,573,295,12,5,489 (85%),209 (70%),2 (16%),2 (20%),32 (51%),24 (38%),16,19,10,12,9,14,2,1,3
FC Malinas,Estándar (Lieja),2,0,54%,46%,16,2,2,9,5,4,1,1,433,377,12,7,353 (81%),297 (78%),2 (10%),2 (15%),38 (53%),17 (30%),25,14,8,13,15,15,1,5,2
Club Brujas,Sint-Truidense,3,0,66%,34%,12,2,0,8,1,3,5,2,646,259,9,4,568 (87%),184 (71%),2 (10%),3 (30%),40 (63%),28 (42%),16,15,4,19,10,18,2,4,3
St. Gilloise,Gent,2,0,58%,42%,17,10,4,0,3,4,1,2,496,482,13,1,406 (81%),367 (76%),2 (13%),1 (10%),28 (37%),24 (31%),12,18,8,11,11,8,2,1,2
RFC Seraing,Cercle Brugge (Brujas),0,1,56%,44%,13,0,3,1,1,5,3,3,432,323,5,10,280 (64%),187 (57%),2 (14%),3 (17%),53 (31%),34 (34%),9,21,10,11,17,31,1,3,-1
FC Genk,FC Westerlo,6,1,64%,36%,23,10,6,1,1,1,7,1,643,354,18,5,575 (89%),295 (83%),7 (58%),4 (44%),33 (73%),33 (61%),15,13,8,16,5,13,4,4,5
FC Eypen,Oud-Heverlee Leuven,4,2,50%,50%,23,11,3,1,1,1,6,3,354,366,19,6,281 (79%),280 (76%),7 (36%),1 (7%),21 (43%),31 (36%),13,15,12,13,7,13,2,5,2
FC Charleroi,FC Kortrijk,2,2,41%,59%,11,11,2,3,4,9,0,1,382,537,8,10,296 (77%),439 (81%),3 (16%),10 (40%),37 (43%),39 (61%),17,18,13,6,28,29,4,3,0
Anderlecht (Bryuscel),Club Brujas,0,1,44%,56%,12,11,2,1,6,7,1,2,398,500,9,9,305 (76%),417 (83%),5 (29%),3 (25%),46 (52%),43 (45%),22,14,5,12,12,18,3,4,-1
Gent,FC Malinas,3,0,52%,48%,19,10,2,3,5,2,4,4,475,426,15,3,390 (82%),339 (79%),6 (46%),2 (18%),33 (44%),26 (39%),12,20,8,8,12,9,1,7,3
Estándar (Lieja),Royal Antwerp,3,0,41%,59%,13,1,6,2,6,3,0,2,361,507,6,11,284 (78%),433 (85%),1 (16%),8 (32%),27 (45%),41 (61%),23,23,10,3,16,2,2,1,3
Oud-Heverlee Leuven,FC Genk,0,1,53%,47%,19,13,5,5,11,9,4,1,388,355,16,13,321 (82%),292 (82%),6 (26%),2 (16%),32 (65%),31 (50%),17,15,14,5,9,17,0,7,-1
Sint-Truidense,FC Charleroi,2,1,36%,64%,10,2,3,4,4,1,1,1,353,625,7,5,262 (74%),516 (82%),2 (14%),3 (20%),47 (51%),42 (45%),8,15,13,3,17,13,1,1,1
Cercle Brugge (Brujas),FC Eypen,5,1,45%,55%,18,10,1,0,0,1,3,2,298,363,13,0,192 (64%),252 (69%),3 (37%),0 (0%),13 (20%),35 (39%),24,16,9,22,9,16,1,5,4
FC Kortrijk,FC Zulte Waregem,1,3,65%,35%,16,2,0,0,1,3,5,1,470,257,6,10,369 (78%),169 (65%),7 (25%),5 (35%),42 (53%),42 (44%),18,20,8,13,18,23,4,4,-2
FC Westerlo,RFC Seraing,2,2,65%,35%,10,3,0,5,2,2,0,0,639,354,9,2,566 (88%),281 (79%),11 (42%),1 (10%),84 (75%),30 (41%),14,15,5,14,5,22,0,2,0
FC Charleroi,Estándar (Lieja),0,1,44%,56%,10,3,1,3,1,0,4,3,394,514,9,3,326 (82%),449 (87%),5 (25%),1 (11%),42 (67%),32 (53%),25,21,23,4,7,18,1,3,-1
FC Eypen,Gent,0,4,59%,41%,10,13,5,3,0,1,6,9,436,311,8,8,335 (76%),207 (66%),1 (4%),4 (33%),38 (49%),30 (46%),9,9,16,17,13,25,2,1,-4
FC Malinas,Anderlecht (Bryuscel),1,3,61%,39%,19,13,14,2,3,1,0,5,512,329,14,7,401 (78%),228 (69%),7 (35%),1 (9%),41 (39%),32 (38%),15,14,17,4,8,21,4,2,-2
Club Brujas,FC Westerlo,0,2,64%,36%,29,10,11,13,5,1,11,3,609,337,23,8,532 (87%),259 (76%),10 (37%),5 (35%),46 (65%),39 (52%),14,19,10,16,8,30,3,12,-2
FC Zulte Waregem,Oud-Heverlee Leuven,2,5,46%,54%,10,14,2,1,4,6,0,1,417,480,7,11,327 (78%),394 (82%),2 (25%),2 (15%),44 (51%),51 (60%),14,15,18,19,13,12,2,0,-3
RFC Seraing,KV Oostende,1,1,41%,59%,13,13,5,6,1,0,3,9,366,492,6,10,254 (69%),376 (76%),1 (20%),9 (31%),31 (28%),60 (57%),17,17,9,11,36,14,1,1,0
FC Genk,FC Kortrijk,2,1,58%,42%,28,13,8,0,1,0,10,3,474,362,20,5,389 (82%),272 (75%),9 (39%),4 (40%),40 (52%),28 (43%),18,17,12,7,9,26,1,5,1
Royal Antwerp,Sint-Truidense,2,0,66%,34%,11,2,0,6,2,5,3,1,707,353,8,3,603 (85%),270 (76%),2 (16%),2 (20%),46 (60%),47 (54%),16,12,6,9,11,13,3,2,2
