HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Royal Antwerp,FC Westerlo,3,0,55%,45%,12,11,4,4,1,0,3,6,525,415,11,9,441 (84%),331 (79%),2 (18%),3 (30%),37 (45%),55 (57%),17,9,16,16,11,10,3,0,3
Anderlecht (Bryuscel),Oud-Heverlee Leuven,2,2,59%,41%,21,12,6,4,12,2,4,1,466,344,16,11,413 (88%),270 (78%),9 (25%),2 (16%),19 (55%),33 (44%),16,24,8,17,11,28,2,4,0
Estándar (Lieja),KV Oostende,1,0,47%,53%,16,14,3,2,5,4,0,1,412,460,11,13,342 (83%),390 (84%),3 (21%),3 (25%),25 (43%),42 (63%),31,26,9,14,13,13,5,4,1
FC Malinas,RFC Seraing,2,3,67%,33%,0,1,0,1,9,3,1,1,542,260,7,5,449 (82%),178 (68%),6 (22%),3 (25%),36 (38%),18 (25%),11,11,7,7,12,32,0,2,-1
FC Eypen,FC Kortrijk,0,1,49%,51%,22,14,10,2,8,4,3,3,379,398,17,11,289 (76%),306 (76%),5 (25%),2 (22%),26 (40%),67 (57%),19,14,14,7,13,22,2,5,-1
FC Genk,Sint-Truidense,0,0,56%,44%,17,6,2,8,6,1,2,1,501,381,13,4,404 (80%),291 (76%),3 (21%),1 (6%),46 (46%),34 (40%),20,18,7,10,14,16,3,4,0
Club Brujas,Cercle Brugge (Brujas),4,0,63%,37%,14,2,5,7,4,2,3,1,410,237,7,11,280 (68%),136 (57%),5 (31%),4 (30%),65 (49%),24 (30%),20,17,13,13,19,16,2,1,4
St. Gilloise,Anderlecht (Bryuscel),2,1,48%,52%,11,10,2,0,7,7,1,3,443,481,8,8,360 (81%),376 (78%),4 (26%),4 (44%),42 (52%),40 (46%),16,22,18,11,15,11,4,3,1
FC Kortrijk,Estándar (Lieja),0,1,46%,54%,16,1,2,4,9,2,1,2,364,428,3,12,272 (74%),354 (82%),2 (16%),7 (30%),42 (53%),34 (55%),21,18,15,8,13,17,4,2,-1
Gent,Royal Antwerp,1,2,57%,43%,15,5,1,0,1,6,2,2,459,428,12,4,368 (80%),338 (78%),5 (20%),4 (36%),36 (60%),28 (35%),22,22,13,11,7,22,2,3,-1
Sint-Truidense,FC Malinas,3,1,48%,52%,10,4,0,1,0,4,3,1,405,455,6,1,312 (77%),350 (76%),8 (34%),0 (0%),50 (59%),38 (38%),10,12,7,9,20,16,1,1,2
Cercle Brugge (Brujas),FC Zulte Waregem,1,1,60%,40%,23,8,3,6,4,1,3,1,447,293,14,8,332 (74%),185 (63%),8 (30%),3 (20%),31 (45%),35 (36%),18,10,8,13,11,30,3,5,0
Oud-Heverlee Leuven,KV Oostende,2,1,61%,39%,11,15,2,2,2,7,2,2,548,333,8,11,431 (78%),218 (65%),2 (25%),6 (40%),20 (40%),40 (44%),16,14,19,12,7,19,4,4,1
RFC Seraing,FC Genk,0,4,40%,60%,11,11,3,2,5,2,1,1,357,558,9,8,254 (71%),458 (82%),9 (37%),2 (28%),48 (43%),37 (48%),18,18,13,14,14,16,1,3,-4
FC Charleroi,Club Brujas,1,3,48%,52%,22,16,8,3,2,5,2,1,493,546,15,14,383 (77%),449 (82%),5 (31%),4 (36%),34 (45%),32 (45%),19,8,14,8,7,21,3,5,-2
Royal Antwerp,St. Gilloise,4,2,60%,40%,10,4,2,1,0,4,3,4,626,403,8,7,546 (87%),331 (82%),2 (40%),1 (10%),46 (58%),27 (49%),30,10,13,16,8,7,1,1,2
FC Malinas,FC Westerlo,5,4,50%,50%,14,14,2,3,0,1,4,5,440,451,11,7,348 (79%),366 (81%),5 (23%),6 (35%),38 (42%),58 (63%),22,18,6,12,17,25,3,2,1
Estándar (Lieja),Oud-Heverlee Leuven,1,3,62%,38%,25,10,7,1,10,4,2,1,490,281,20,5,406 (82%),196 (69%),10 (31%),2 (40%),22 (53%),23 (28%),20,15,11,14,5,26,2,7,-2
FC Zulte Waregem,FC Charleroi,1,3,49%,51%,15,2,5,2,5,0,2,2,528,487,6,11,436 (82%),407 (83%),4 (36%),6 (37%),30 (43%),47 (49%),25,19,6,15,7,14,2,3,-2
Club Brujas,FC Kortrijk,2,1,64%,36%,29,12,9,2,15,2,2,1,555,337,21,9,462 (83%),254 (75%),11 (45%),3 (23%),34 (53%),23 (33%),12,16,12,14,6,23,1,10,1
FC Genk,Cercle Brugge (Brujas),2,1,62%,38%,15,1,1,1,0,7,5,2,436,268,13,7,335 (76%),159 (59%),8 (47%),1 (7%),44 (42%),29 (33%),12,23,6,16,16,14,1,3,1
KV Oostende,Sint-Truidense,0,1,54%,46%,12,2,1,5,5,1,4,2,493,425,11,5,368 (74%),312 (73%),6 (31%),5 (33%),38 (32%),49 (51%),17,16,13,21,8,19,2,6,-1
FC Eypen,RFC Seraing,1,3,63%,37%,13,16,4,5,0,1,7,6,533,310,9,9,426 (79%),197 (63%),5 (23%),4 (23%),43 (63%),46 (46%),21,23,8,20,11,18,3,4,-2
Oud-Heverlee Leuven,Club Brujas,0,3,46%,54%,13,12,4,3,0,1,7,5,391,454,10,8,323 (82%),390 (85%),5 (29%),3 (18%),25 (52%),40 (55%),16,11,12,12,5,10,3,2,-3
FC Eypen,Royal Antwerp,0,1,36%,64%,17,7,1,6,3,3,2,4,281,527,8,7,188 (66%),433 (82%),2 (13%),4 (30%),20 (27%),41 (53%),24,24,12,7,15,18,4,5,-1
Sint-Truidense,Anderlecht (Bryuscel),0,3,50%,50%,12,10,2,0,6,5,2,5,401,337,8,8,335 (83%),271 (80%),6 (30%),2 (33%),47 (57%),27 (45%),15,10,9,7,5,15,4,6,-3
St. Gilloise,FC Kortrijk,2,1,63%,37%,16,2,2,1,0,5,1,0,514,360,13,4,438 (85%),269 (74%),6 (33%),4 (36%),44 (61%),29 (42%),23,20,16,8,8,12,1,7,1
RFC Seraing,FC Charleroi,0,1,50%,50%,11,13,3,5,4,6,0,1,350,449,8,11,255 (72%),357 (79%),5 (29%),2 (18%),41 (44%),36 (44%),18,13,6,18,10,11,4,3,-1
Cercle Brugge (Brujas),FC Malinas,0,0,51%,49%,12,10,4,1,8,8,3,3,320,366,6,7,181 (56%),227 (62%),3 (12%),2 (15%),33 (33%),30 (25%),7,10,5,9,14,23,4,2,0
FC Westerlo,Estándar (Lieja),4,2,58%,42%,14,12,1,4,4,6,2,0,494,413,13,12,436 (88%),343 (83%),6 (31%),6 (33%),44 (65%),35 (68%),11,20,14,7,15,16,4,2,2
KV Oostende,Gent,1,3,43%,57%,14,1,2,2,6,2,2,3,388,580,6,14,288 (74%),473 (81%),1 (16%),2 (16%),24 (38%),32 (40%),14,26,15,16,16,10,3,1,-2
Anderlecht (Bryuscel),RFC Seraing,3,1,57%,43%,12,0,1,2,1,5,1,1,533,358,11,3,438 (82%),268 (74%),3 (50%),0 (0%),40 (54%),23 (38%),22,12,3,14,13,14,1,3,2
Gent,FC Westerlo,2,1,54%,46%,15,3,1,1,0,10,7,2,549,411,8,5,455 (82%),324 (78%),4 (23%),2 (11%),37 (46%),46 (53%),16,18,10,9,16,21,2,3,1
Estándar (Lieja),Cercle Brugge (Brujas),2,0,52%,48%,10,3,2,2,0,5,6,2,366,256,8,3,258 (70%),140 (54%),3 (18%),4 (28%),46 (40%),14 (19%),11,29,6,7,21,15,3,5,2
FC Malinas,St. Gilloise,3,0,48%,52%,1,1,3,5,4,3,2,5,351,508,4,5,257 (73%),406 (79%),2 (15%),1 (7%),28 (28%),53 (62%),18,10,14,12,18,4,2,3,3
FC Kortrijk,Sint-Truidense,0,0,39%,61%,10,18,11,2,5,4,6,1,338,554,10,14,248 (73%),470 (84%),3 (42%),8 (27%),29 (34%),46 (51%),18,19,7,10,24,7,2,4,0
FC Charleroi,KV Oostende,1,3,56%,44%,16,7,1,9,5,3,0,2,566,323,12,7,450 (79%),205 (63%),3 (13%),0 (0%),31 (39%),34 (39%),14,20,19,18,12,19,3,2,-2
FC Genk,FC Eypen,4,2,56%,44%,25,14,7,2,8,2,1,4,440,339,19,7,350 (79%),252 (74%),3 (27%),5 (45%),28 (32%),21 (36%),18,21,20,16,8,20,3,10,2
Club Brujas,FC Zulte Waregem,1,1,63%,37%,23,10,6,1,7,4,4,2,539,382,16,7,431 (79%),255 (66%),4 (21%),2 (15%),61 (56%),33 (36%),17,19,19,7,12,22,3,6,0
RFC Seraing,FC Kortrijk,0,1,55%,45%,19,12,2,2,3,4,0,1,400,346,16,4,334 (83%),258 (74%),9 (33%),2 (15%),36 (61%),38 (36%),13,14,19,3,17,20,2,5,-1
FC Eypen,Club Brujas,2,1,44%,56%,13,13,3,4,5,7,3,2,309,448,11,9,213 (68%),343 (76%),2 (12%),6 (30%),21 (28%),34 (48%),19,15,10,8,17,9,5,4,1
FC Genk,Estándar (Lieja),3,1,51%,49%,15,10,2,3,1,0,7,4,443,421,9,6,373 (84%),347 (82%),3 (15%),1 (7%),30 (55%),23 (46%),25,19,15,16,9,17,1,2,2
Gent,Sint-Truidense,1,1,54%,46%,13,11,3,1,3,6,2,0,545,397,10,10,439 (80%),296 (74%),4 (30%),2 (14%),51 (56%),37 (44%),21,15,13,14,12,16,6,3,0
Oud-Heverlee Leuven,FC Westerlo,2,0,43%,57%,11,13,3,5,1,0,5,6,344,429,7,11,286 (83%),385 (89%),5 (35%),12 (37%),37 (56%),34 (82%),19,15,5,4,13,9,0,3,2
KV Oostende,FC Malinas,2,1,29%,71%,19,0,5,6,9,2,1,1,270,578,6,13,172 (63%),476 (82%),1 (8%),3 (12%),39 (38%),32 (47%),18,20,9,12,36,11,6,5,1
Cercle Brugge (Brujas),Anderlecht (Bryuscel),1,0,55%,45%,13,4,2,8,1,1,1,0,341,364,8,4,233 (68%),256 (70%),2 (7%),1 (9%),40 (35%),42 (36%),18,23,14,13,21,31,0,3,1
St. Gilloise,FC Charleroi,1,0,55%,45%,16,5,1,9,4,1,1,2,479,464,13,5,405 (84%),373 (80%),4 (21%),2 (11%),41 (56%),34 (45%),13,27,17,18,15,18,4,5,1
Anderlecht (Bryuscel),KV Oostende,2,0,56%,44%,13,2,1,7,5,3,1,0,557,404,10,8,479 (86%),308 (76%),5 (35%),3 (21%),38 (62%),40 (50%),29,27,15,15,12,11,1,1,2
FC Malinas,Royal Antwerp,0,2,57%,43%,14,10,5,2,0,1,6,2,477,329,10,6,385 (80%),230 (69%),4 (19%),3 (37%),26 (44%),20 (30%),16,10,14,17,11,26,1,3,-2
Club Brujas,FC Genk,3,2,54%,46%,15,16,10,4,3,4,3,3,414,362,8,12,340 (82%),287 (79%),3 (20%),3 (33%),47 (53%),28 (45%),24,18,4,7,5,14,8,2,1
Sint-Truidense,St. Gilloise,1,1,48%,52%,10,14,3,3,0,5,2,1,315,477,6,11,197 (62%),375 (78%),2 (16%),6 (27%),29 (28%),56 (61%),19,10,16,10,16,11,2,2,0
FC Zulte Waregem,RFC Seraing,2,0,54%,46%,18,3,1,7,0,3,2,1,524,423,16,2,417 (79%),323 (76%),10 (47%),3 (37%),38 (43%),29 (38%),21,18,9,7,5,13,0,6,2
FC Kortrijk,Oud-Heverlee Leuven,0,2,49%,51%,15,19,4,4,6,4,4,1,346,441,9,14,278 (80%),376 (85%),3 (16%),7 (36%),40 (53%),25 (48%),22,12,10,7,19,20,4,2,-2
FC Charleroi,FC Eypen,3,1,46%,54%,12,4,0,2,1,1,0,2,409,534,9,5,314 (76%),432 (80%),1 (10%),3 (30%),52 (53%),29 (54%),22,12,19,9,11,13,6,2,2
Estándar (Lieja),Gent,2,2,31%,69%,25,11,1,5,1,0,2,12,268,525,5,19,192 (71%),446 (84%),2 (28%),8 (34%),21 (35%),60 (73%),17,13,15,10,31,3,6,1,0
