HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Royal Espanyol,Girona FC,2,2,44%,56%,12,12,3,1,5,2,0,5,354,458,8,10,277 (78%),396 (86%),7 (28%),5 (35%),30 (35%),22 (47%),17,13,7,3,15,25,3,4,0
RCD Mallorca,Real Valladolid,1,0,42%,58%,13,2,3,6,2,1,0,2,331,507,10,6,249 (75%),410 (80%),9 (25%),3 (27%),31 (43%),29 (40%),23,14,6,9,16,21,1,3,1
Villarreal CF,Real Madrid,2,1,49%,51%,17,13,4,3,1,1,6,5,462,485,12,11,392 (84%),419 (86%),5 (41%),4 (25%),25 (53%),35 (74%),16,16,15,5,24,21,2,3,1
València CF,Cádiz CF,0,1,74%,26%,11,6,0,13,2,2,1,5,544,204,7,4,465 (85%),125 (61%),8 (17%),4 (80%),21 (48%),25 (32%),25,18,7,6,7,51,1,2,-1
Elche,Celta de Vigo,0,1,56%,44%,13,14,3,4,8,4,2,2,485,383,9,8,362 (74%),282 (73%),6 (18%),1 (9%),43 (53%),39 (33%),14,20,8,13,16,40,6,5,-1
Villarreal CF,València CF,2,1,53%,47%,14,13,0,6,5,2,2,7,393,345,12,11,325 (82%),278 (80%),3 (30%),4 (23%),32 (71%),19 (33%),14,28,9,11,21,8,3,6,1
FC Barcelona,Royal Espanyol,1,1,77%,23%,21,10,5,3,0,1,10,2,640,186,18,1,583 (91%),126 (67%),14 (48%),0 (0%),34 (73%),38 (54%),11,18,3,6,15,12,0,5,0
Real Valladolid,Real Madrid,0,2,39%,61%,14,19,5,4,0,1,5,9,387,610,12,16,318 (82%),539 (88%),4 (40%),6 (30%),31 (46%),23 (45%),20,10,10,6,13,3,5,4,-2
Celta de Vigo,Sevilla FC,1,1,44%,56%,17,7,0,5,6,2,1,2,447,587,11,4,370 (82%),496 (84%),7 (29%),4 (18%),23 (46%),31 (46%),14,15,14,14,24,18,4,4,0
Cádiz CF,UD Almería,1,1,49%,51%,12,19,10,1,5,3,2,3,432,450,8,14,339 (78%),364 (80%),3 (17%),4 (33%),37 (37%),33 (47%),20,16,5,8,13,18,9,5,0
Getafe CF,RCD Mallorca,2,0,56%,44%,14,5,0,4,2,1,4,0,508,411,11,2,401 (78%),301 (73%),2 (10%),1 (11%),30 (31%),34 (34%),11,13,7,3,11,17,0,4,2
Atlético Madrid,Elche,2,0,62%,38%,18,11,3,1,3,5,2,3,590,348,15,3,523 (88%),284 (81%),2 (12%),2 (14%),21 (44%),25 (49%),22,13,8,9,14,16,1,2,2
Real Betis Balompié,Athletic Bilbao,0,0,53%,47%,10,1,7,2,6,2,4,1,463,397,5,5,364 (78%),302 (76%),1 (10%),2 (10%),31 (41%),40 (49%),19,24,7,15,24,14,0,5,0
Girona FC,Rayo Vallecano,2,2,60%,40%,16,12,1,4,2,0,2,4,515,353,11,7,431 (83%),268 (75%),3 (12%),3 (33%),27 (43%),25 (30%),15,18,9,8,6,20,2,5,0
València CF,Real Betis Balompié,3,0,63%,37%,15,1,3,1,0,5,5,5,545,329,9,5,476 (87%),243 (73%),3 (18%),1 (11%),25 (52%),21 (30%),14,19,3,6,13,15,1,4,3
Rayo Vallecano,Celta de Vigo,0,0,58%,42%,10,11,2,2,5,3,4,0,512,375,9,11,428 (83%),287 (76%),7 (25%),3 (37%),35 (44%),26 (37%),22,31,5,6,14,23,3,3,0
RCD Mallorca,Atlético Madrid,1,0,37%,63%,17,3,7,2,5,1,4,5,354,586,7,12,264 (74%),507 (86%),5 (62%),4 (14%),39 (44%),25 (42%),14,19,11,5,37,13,5,2,1
Royal Espanyol,Villarreal CF,0,1,44%,56%,14,10,4,2,4,7,1,2,414,532,12,9,356 (85%),474 (89%),5 (27%),1 (11%),37 (54%),34 (55%),18,13,6,5,12,25,4,6,-1
UD Almería,Getafe CF,1,0,55%,45%,11,3,3,7,6,4,4,6,453,361,8,7,350 (77%),260 (72%),4 (33%),6 (25%),30 (34%),31 (39%),10,13,12,11,22,10,2,2,1
Sevilla FC,Real Sociedad,1,2,32%,68%,17,0,3,2,1,0,4,2,328,732,5,15,248 (75%),658 (89%),3 (21%),2 (18%),27 (38%),38 (54%),12,17,4,9,12,21,7,2,-1
CA Osasuna,FC Barcelona,1,2,47%,53%,15,6,1,3,6,3,2,4,433,506,10,8,349 (80%),414 (81%),5 (22%),2 (20%),34 (42%),27 (36%),10,12,5,3,13,14,1,2,-1
Athletic Bilbao,Real Valladolid,3,0,43%,57%,19,5,1,10,2,3,1,3,341,459,15,7,256 (75%),351 (76%),4 (26%),2 (16%),18 (31%),36 (41%),10,21,14,10,10,17,0,3,3
Elche,Girona FC,1,2,45%,55%,11,21,12,4,6,2,5,2,349,439,10,19,277 (79%),361 (82%),4 (22%),7 (53%),26 (36%),39 (56%),23,12,5,5,9,9,1,1,-1
Real Betis Balompié,Sevilla FC,1,1,37%,63%,22,11,2,5,2,4,2,3,308,523,6,15,248 (80%),461 (88%),4 (44%),10 (37%),22 (33%),30 (52%),9,11,6,4,22,10,4,4,0
Villarreal CF,RCD Mallorca,0,2,71%,29%,3,1,5,2,1,2,4,6,597,242,7,6,530 (88%),178 (73%),7 (31%),5 (71%),22 (59%),34 (51%),8,20,5,11,5,28,3,2,-2
