HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
FC Benevento,FC Perugia,0,2,61%,39%,19,21,10,7,5,10,7,0,453,279,16,17,356 (78%),179 (64%),3 (14%),9 (42%),51 (48%),32 (36%),8,20,7,15,13,25,4,3,-2
Ascoli,Regina (Reggio Calabria),0,1,53%,47%,10,4,2,3,4,3,2,4,410,361,8,4,303 (73%),258 (71%),4 (19%),3 (16%),48 (39%),29 (35%),23,17,10,8,18,17,0,1,-1
FC Cagliari,FC Cosenza,2,0,56%,44%,25,14,14,5,9,4,2,1,490,398,17,8,407 (83%),304 (76%),11 (29%),6 (21%),39 (51%),42 (38%),8,14,15,8,16,25,5,5,2
SPAL (Ferrara),FC Pisa,0,1,58%,42%,13,17,3,4,5,3,3,2,422,295,10,11,349 (82%),226 (76%),7 (41%),4 (23%),34 (56%),28 (51%),14,18,15,10,13,14,3,1,-1
FC Como.,FC Cittadella,2,0,43%,57%,10,18,13,1,4,4,8,1,318,402,7,16,190 (59%),292 (72%),6 (46%),10 (30%),42 (30%),40 (38%),16,23,7,6,28,17,1,4,2
Sudtirol,Modena FC,0,2,48%,52%,15,12,4,1,3,4,1,0,425,482,10,11,347 (81%),409 (84%),7 (21%),4 (23%),56 (60%),58 (58%),28,19,11,17,10,28,1,4,-2
FC Brescia,FC Palermo,1,1,54%,46%,13,1,3,2,7,0,2,2,549,463,5,11,457 (83%),373 (80%),3 (27%),6 (31%),28 (50%),28 (43%),16,15,3,5,20,12,1,2,0
Génova (Genova),Frosinone,1,0,51%,49%,15,14,4,6,6,4,2,2,447,478,13,9,335 (74%),380 (79%),6 (31%),4 (28%),29 (36%),32 (44%),25,19,11,9,10,21,1,3,1
FC Palermo,FC Cagliari,2,1,48%,52%,14,11,3,1,1,0,9,2,293,555,9,9,211 (72%),482 (86%),7 (25%),6 (20%),23 (31%),40 (63%),12,15,11,5,23,22,3,5,1
FC Ternana,FC Como.,0,3,59%,41%,23,17,10,10,6,10,11,2,445,275,14,15,365 (82%),193 (70%),7 (20%),8 (34%),34 (58%),52 (53%),12,17,6,14,19,37,3,3,-3
FC Cittadella,Sudtirol,0,2,57%,43%,11,11,3,4,8,1,3,3,449,347,6,8,333 (74%),233 (67%),10 (26%),3 (30%),30 (37%),40 (30%),20,24,9,14,12,35,4,3,-2
FC Cosenza,Ascoli,1,3,57%,43%,22,11,7,2,4,3,6,2,466,325,17,10,375 (80%),237 (72%),5 (25%),3 (23%),41 (51%),42 (43%),16,25,8,4,13,17,3,5,-2
Modena FC,FC Benevento,1,1,53%,47%,12,3,1,5,2,1,1,1,416,458,7,4,319 (76%),351 (76%),1 (5%),3 (13%),31 (50%),35 (45%),14,17,13,13,14,19,0,3,0
FC Parma,SPAL (Ferrara),0,1,60%,40%,22,10,7,0,17,5,1,1,468,338,14,1,395 (84%),253 (74%),6 (13%),1 (9%),22 (56%),17 (28%),12,19,6,14,16,48,2,4,-1
Regina (Reggio Calabria),FC Bari,0,0,57%,43%,13,5,0,7,2,1,1,1,391,410,9,4,309 (79%),315 (76%),6 (33%),1 (10%),40 (50%),35 (46%),12,20,17,9,11,24,1,2,0
FC Pisa,FC Brescia,3,0,52%,48%,17,10,3,1,1,0,3,2,378,317,11,2,272 (71%),219 (69%),8 (40%),5 (27%),46 (50%),47 (60%),16,18,13,7,20,23,3,1,3
Frosinone,FC Pisa,0,0,56%,44%,11,10,4,3,1,7,2,4,499,340,5,7,399 (79%),250 (73%),6 (27%),5 (22%),32 (39%),25 (35%),16,13,9,4,13,15,0,1,0
FC Bari,Modena FC,4,1,40%,60%,26,10,10,3,6,1,11,1,354,418,6,17,265 (74%),352 (84%),0 (0%),9 (21%),26 (26%),25 (62%),25,9,6,7,28,5,9,2,3
FC Como.,Regina (Reggio Calabria),0,1,48%,52%,12,13,4,4,0,1,4,8,382,371,7,7,288 (75%),288 (77%),3 (18%),8 (29%),33 (43%),37 (47%),18,15,15,13,25,24,2,2,-1
Unione Venezia,FC Cosenza,2,0,50%,50%,11,18,4,8,7,3,2,6,418,358,9,14,326 (77%),276 (77%),3 (17%),2 (7%),35 (43%),29 (39%),21,13,12,11,25,21,2,2,2
