HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
AC Ajaccio,Olympique de Lyon,0,2,51%,49%,16,4,2,5,1,3,2,2,394,386,14,6,282 (71%),281 (72%),7 (41%),1 (14%),37 (48%),29 (36%),22,22,10,14,7,15,0,5,-2
AJ Auxerre,Montpellier Hérault S. C.,0,2,58%,42%,16,10,2,0,5,3,1,3,469,346,10,3,380 (81%),243 (70%),5 (17%),3 (30%),48 (63%),27 (36%),24,28,13,13,11,23,1,4,-2
Stade Brestois,Angers S. C. O.,4,0,41%,59%,0,2,4,5,3,3,0,2,383,556,8,7,304 (79%),471 (84%),4 (26%),7 (33%),25 (43%),26 (44%),17,16,14,18,13,7,1,3,4
Clermont,F.C.Nantes,0,0,60%,40%,6,1,9,1,2,1,548,378,2,1,548,378,4,2,469 (85%),310 (82%),5 (20%),2 (13%),36 (44%),21 (41%),13,15,6,20,4,30,0
Racing Estrasburgo,Toulouse FC,1,2,54%,46%,11,4,1,4,2,1,2,2,556,476,5,4,438 (78%),352 (73%),2 (11%),1 (20%),39 (40%),33 (38%),17,25,13,9,9,18,1,1,-1
O. G. C. Nice,Lille O. S. C.,1,0,44%,56%,12,16,2,4,5,7,0,1,443,562,6,14,369 (83%),481 (85%),3 (18%),5 (38%),36 (48%),33 (60%),22,16,11,10,18,21,7,5,1
Olympique de Marsella,A. S. Monaco,1,1,61%,39%,22,11,10,6,1,6,3,1,589,373,16,8,476 (80%),265 (71%),3 (14%),3 (21%),43 (57%),38 (43%),23,28,14,13,8,28,4,5,0
E. S. Troyes A. C.,R. C. Lens,1,1,26%,74%,21,12,1,5,3,11,0,2,244,650,4,13,151 (61%),575 (88%),1 (14%),8 (17%),14 (19%),24 (61%),20,22,8,5,40,6,3,0,0
F. C. Lorient,Stade Rennais F. C.,2,1,33%,67%,19,0,7,2,10,1,0,1,342,668,4,16,263 (76%),590 (88%),1 (25%),9 (21%),18 (32%),26 (57%),26,19,9,8,45,8,5,2,1
A. S. Monaco,AC Ajaccio,7,1,66%,34%,11,2,1,1,0,3,3,1,635,329,4,5,545 (85%),248 (75%),2 (10%),3 (42%),39 (59%),25 (39%),21,16,11,12,3,21,1,1,6
Angers S. C. O.,Clermont,1,2,59%,41%,10,0,2,3,1,0,1,2,614,438,3,7,540 (87%),363 (82%),4 (16%),3 (27%),26 (49%),22 (39%),17,21,14,15,10,17,4,0,-1
Montpellier Hérault S. C.,F.C.Nantes,0,3,48%,52%,11,12,2,2,3,5,1,2,366,419,9,8,277 (75%),334 (79%),3 (16%),5 (17%),24 (41%),29 (47%),12,17,3,11,25,17,4,5,-3
Stade de Reims,O. G. C. Nice,0,0,51%,49%,13,4,1,5,3,1,2,1,519,519,9,5,432 (83%),432 (83%),6 (31%),1 (9%),24 (42%),37 (48%),29,28,7,14,5,18,4,2,0
Toulouse FC,Stade Brestois,1,1,64%,36%,16,17,5,4,10,5,2,0,544,310,8,11,461 (84%),228 (73%),7 (25%),5 (27%),29 (52%),41 (51%),14,14,15,21,15,24,4,5,0
Lille O. S. C.,E. S. Troyes A. C.,5,1,67%,33%,23,10,13,6,1,7,2,2,665,320,18,9,612 (92%),275 (85%),4 (26%),2 (16%),46 (77%),20 (43%),12,15,8,7,7,16,1,8,4
Olympique de Lyon,Racing Estrasburgo,1,2,72%,28%,28,14,0,1,0,14,2,1,691,274,23,4,599 (86%),191 (69%),11 (26%),0 (0%),45 (68%),20 (31%),22,22,14,19,3,42,2,6,-1
Olympique de Marsella,F. C. Lorient,3,1,69%,31%,15,11,0,5,6,3,1,0,661,304,10,10,604 (91%),230 (75%),9 (30%),2 (33%),35 (67%),13 (30%),11,13,14,7,13,19,2,4,2
R. C. Lens,AJ Auxerre,1,0,68%,32%,10,1,2,1,0,9,2,0,581,274,7,4,528 (90%),202 (73%),6 (16%),0 (0%),28 (57%),28 (40%),14,15,7,11,13,28,1,1,1
O. G. C. Nice,Montpellier Hérault S. C.,6,1,59%,41%,16,10,4,0,3,4,0,3,491,338,15,2,423 (86%),271 (80%),4 (25%),2 (16%),26 (65%),28 (59%),32,32,7,10,16,17,1,4,5
Paris Saint-Germain,Angers S. C. O.,2,0,66%,34%,1,3,5,1,3,2,1,2,832,419,7,5,774 (93%),372 (88%),5 (50%),1 (14%),23 (62%),16 (51%),19,18,4,8,5,9,0,4,2
Racing Estrasburgo,R. C. Lens,2,2,35%,65%,15,1,1,3,4,1,1,337,337,618,8,11,268 (79%),553 (89%),3 (27%),9 (26%),38 (51%),38 (63%),16,26,5,8,32,9,6,4,0
E. S. Troyes A. C.,Olympique de Marsella,0,2,31%,69%,13,2,6,4,7,1,4,2,300,656,4,10,235 (78%),595 (90%),4 (36%),10 (37%),21 (39%),45 (66%),9,12,8,10,12,10,2,1,-2
AC Ajaccio,Stade de Reims,0,1,47%,53%,11,4,4,2,2,3,2,3,365,425,8,6,252 (69%),305 (71%),4 (12%),3 (27%),35 (43%),35 (37%),14,19,12,10,9,25,0,1,-1
AJ Auxerre,Toulouse FC,0,5,47%,53%,18,6,1,0,1,7,4,0,323,374,12,6,258 (79%),300 (80%),10 (34%),3 (23%),30 (57%),35 (50%),20,16,6,10,11,27,2,4,-5
Stade Brestois,Lille O. S. C.,0,0,28%,72%,11,0,3,0,8,0,2,0,264,688,3,8,174 (65%),605 (87%),1 (9%),3 (13%),19 (26%),47 (67%),21,15,16,10,21,7,4,0,0
Clermont,Stade Rennais F. C.,2,1,38%,62%,11,2,4,4,1,2,0,0,355,583,8,8,265 (74%),503 (86%),3 (30%),2 (22%),32 (44%),33 (53%),13,15,15,11,12,11,1,3,1
F.C.Nantes,Olympique de Lyon,0,0,39%,61%,13,10,4,2,6,1,2,2,367,586,9,5,277 (75%),509 (86%),6 (27%),3 (23%),33 (38%),20 (46%),10,16,13,11,19,26,6,5,0
Montpellier Hérault S. C.,Olympique de Marsella,1,2,40%,60%,17,4,6,1,0,5,7,3,317,483,5,12,242 (76%),407 (84%),2 (11%),7 (29%),23 (41%),47 (62%),19,18,6,12,16,13,6,0,-1
Lille O. S. C.,Stade de Reims,1,1,62%,38%,14,1,1,5,1,1,3,1,602,368,12,6,527 (87%),289 (78%),3 (23%),2 (25%),27 (51%),30 (50%),22,24,7,9,13,9,5,4,0
