HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
U. C. Sampdoria,S. S. C. Napoli,0,2,34%,66%,24,10,3,6,0,1,2,6,329,666,8,17,248 (75%),608 (91%),2 (16%),5 (33%),26 (44%),46 (79%),22,13,7,4,23,11,6,2,-2
S.S. Lazio,Empoli F. C.,2,2,53%,47%,18,6,2,10,3,2,1,4,589,506,15,4,524 (88%),449 (88%),6 (27%),3 (23%),45 (72%),28 (65%),18,13,2,6,8,16,0,2,0
Spezia Calcio,U.S. Lecce,0,0,53%,47%,10,15,1,5,5,7,1,1,429,312,8,11,301 (70%),200 (64%),6 (30%),8 (34%),31 (37%),30 (28%),10,18,8,9,19,29,4,2,0
Salernitana,Torino F. C.,1,1,38%,62%,11,23,4,7,6,7,1,1,315,505,8,19,220 (69%),409 (80%),2 (11%),8 (30%),21 (23%),23 (31%),12,7,8,3,21,13,7,3,0
Monza,Inter de Milán,2,2,54%,46%,13,11,3,1,3,5,0,3,513,423,11,7,425 (82%),348 (82%),9 (47%),5 (26%),39 (53%),36 (56%),17,11,6,8,11,16,1,3,0
Juventus de Turín,Udinese Calcio,1,0,50%,50%,14,11,3,5,6,4,3,0,462,454,13,10,391 (84%),392 (86%),4 (18%),4 (19%),21 (38%),40 (60%),19,14,4,6,16,23,3,3,1
ACF Fiorentina,US Sassuolo Calcio,2,1,58%,42%,15,16,4,6,1,1,6,3,411,372,8,9,311 (75%),273 (73%),7 (38%),2 (28%),37 (46%),27 (31%),13,23,5,7,5,18,3,2,1
Udinese Calcio,Empoli F. C.,1,1,60%,40%,21,10,8,5,8,1,0,2,498,344,13,4,441 (88%),273 (79%),10 (26%),1 (25%),36 (67%),24 (45%),25,22,5,3,10,26,0,3,0
Cremonese,Juventus de Turín,0,1,44%,56%,13,19,4,3,3,8,2,2,332,425,8,15,240 (72%),344 (80%),2 (11%),7 (36%),19 (31%),41 (50%),17,25,10,3,14,31,7,3,-1
ACF Fiorentina,Monza,1,1,53%,47%,22,10,10,6,2,9,1,1,417,382,19,8,349 (83%),297 (77%),5 (17%),4 (40%),33 (55%),31 (42%),15,15,10,7,5,23,2,5,0
A. S. Roma,Bologna FC 1909,1,0,38%,62%,14,11,6,6,1,0,3,3,380,597,6,10,300 (78%),506 (84%),1 (14%),3 (21%),24 (41%),43 (60%),13,20,10,3,19,6,1,3,1
U.S. Lecce,S.S. Lazio,2,1,40%,60%,11,3,3,4,3,3,2,3,377,577,6,7,267 (70%),462 (80%),1 (5%),3 (27%),24 (30%),25 (59%),19,16,15,12,18,26,1,2,1
Spezia Calcio,Atalanta B. C.,2,2,42%,58%,19,1,7,3,8,1,1,3,315,578,7,18,210 (66%),475 (82%),4 (36%),11 (30%),31 (36%),49 (47%),28,23,12,14,32,16,1,1,0
Torino F. C.,Hellas Verona F. C.,1,1,70%,30%,10,4,2,6,3,2,0,1,582,290,8,8,463 (79%),180 (62%),3 (15%),7 (53%),38 (36%),35 (38%),11,12,4,6,11,33,1,2,0
Salernitana,AC Milan,1,2,44%,56%,16,10,2,5,6,2,1,4,313,400,7,13,241 (77%),319 (79%),2 (11%),4 (33%),22 (36%),32 (48%),22,21,8,10,18,10,9,0,-1
US Sassuolo Calcio,U. C. Sampdoria,1,2,66%,34%,16,6,1,1,0,9,1,1,553,267,12,8,466 (84%),190 (71%),3 (12%),4 (40%),37 (66%),30 (42%),18,19,4,14,10,24,2,3,-1
AC Milan,ACF Fiorentina,2,1,49%,51%,12,11,6,2,5,7,3,2,403,408,11,11,315 (78%),318 (77%),3 (15%),5 (22%),39 (48%),40 (45%),17,21,10,6,21,25,4,1,1
Hellas Verona F. C.,Spezia Calcio,1,2,44%,56%,18,16,4,3,2,10,4,0,309,396,13,7,197 (63%),265 (66%),6 (30%),8 (32%),33 (37%),33 (34%),7,10,13,6,25,19,7,4,-1
