Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
12.08.2023 20:30,Once Caldas,Pereira,1,0
12.08.2023 18:20,Junior,Dep. Pasto,0,0
12.08.2023 16:10,Ind. Santa Fe,La Equidad,1,1
11.08.2023 20:30,Tolima,Atl. Huila,1,0
11.08.2023 18:20,Aguilas Doradas,Deportivo Cali,1,0
10.08.2023 18:00,Alianza Petrolera,Envigado,3,1
07.08.2023 19:30,Millonarios,Tolima,1,0
07.08.2023 17:15,Atl. Bucaramanga,Jaguares de Córdoba,3,0
06.08.2023 20:20,Dep. Pasto,Ind. Santa Fe,2,0
06.08.2023 18:10,Deportivo Cali,Atl. Nacional,1,1
06.08.2023 16:00,La Equidad,América de Cali,1,1
05.08.2023 20:20,Ind. Medellín,Envigado,1,0
05.08.2023 18:10,Pereira,Boyacá Chicó,1,1
05.08.2023 16:00,U. Magdalena,Junior,0,0
04.08.2023 20:30,Aguilas Doradas,Once Caldas,2,1
04.08.2023 18:15,Atl. Huila,Alianza Petrolera,0,0
02.08.2023 19:30,Ind. Santa Fe,Ind. Medellín,1,0
31.07.2023 20:20,Junior,Atl. Bucaramanga,1,1
31.07.2023 18:10,Boyacá Chicó,La Equidad,0,2
31.07.2023 16:00,Envigado,U. Magdalena,0,0
30.07.2023 20:00,Atl. Huila,Pereira,2,0
30.07.2023 17:45,América de Cali,Dep. Pasto,1,1
30.07.2023 15:30,Once Caldas,Deportivo Cali,4,0
29.07.2023 20:20,Atl. Nacional,Jaguares de Córdoba,2,1
29.07.2023 18:10,Alianza Petrolera,Millonarios,1,0
29.07.2023 16:00,Tolima,Aguilas Doradas,1,1
24.07.2023 19:00,Jaguares de Córdoba,Boyacá Chicó,2,1
23.07.2023 20:10,Ind. Medellín,Junior,1,0
23.07.2023 15:45,Atl. Bucaramanga,Atl. Huila,1,0
22.07.2023 20:30,Millonarios,Pereira,0,0
21.07.2023 20:30,Dep. Pasto,Alianza Petrolera,1,1
21.07.2023 18:15,La Equidad,Envigado,1,1
21.07.2023 16:00,Tolima,Once Caldas,3,1
19.07.2023 20:00,Ind. Santa Fe,Jaguares de Córdoba,1,0
17.07.2023 20:00,Pereira,Deportivo Cali,0,2
16.07.2023 19:30,Once Caldas,Atl. Nacional,1,1
16.07.2023 17:15,América de Cali,Tolima,1,0
15.07.2023 20:20,Dep. Pasto,Millonarios,0,0
15.07.2023 18:10,Junior,Aguilas Doradas,0,1
15.07.2023 16:00,Ind. Medellín,La Equidad,2,2
14.07.2023 19:40,Atl. Huila,U. Magdalena,2,1
14.07.2023 16:00,Envigado,Atl. Bucaramanga,1,3
