Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
13.01.2024 13:00,Chaves,Sporting CP,1.7,1.8,1.2,1.5,49.3,51.5,13.9,13,4.9,5,6.9,5.7,2.1,2.3,14.1,15.3,4.6,5.5,1.1,1.5,21.1,26.2,1.9,1.8,14.1,10.7,0.3,0.2,3.3,3.5,,,,,,,98.9,108,43.6,57.2,,,,,,,
13.01.2024 15:30,Estoril,Moreirense,2.2,1.1,1.4,0.9,48.5,43.8,14.2,10.6,5.7,3.5,5.7,4.8,2.8,2.4,14.2,14.2,5,4.9,1.3,1.1,18.2,19.2,3.8,3.2,16.2,16.5,0,0.4,3,3.4,,,,,,,91.7,90.6,41.3,36.6,,,,,,,
14.01.2024 10:30,Gil Vicente,Estrela,2.7,1,1.2,1.1,51.7,41.9,10.9,8.4,5.4,2.4,3.4,4.1,2,1.9,17.9,13.1,3.7,4.6,1.4,1.3,18.9,21.9,3.1,3.9,12.9,10.9,0,0.1,2.6,2.4,,,,,,,100.4,83.6,41.3,33.6,,,,,,,
14.01.2024 13:00,Benfica,Rio Ave,1.8,0.7,2.2,1.2,65.7,42.6,20.3,10.4,7.5,4.3,8.2,4.4,4.7,1.7,13.5,15.9,10,3.4,2.3,2.3,21.2,18.6,2,3.4,11.2,14.6,0,0,2.3,2.9,,,,,,,138,91.7,96.3,32.6,,,,,,,
14.01.2024 13:00,Vizela,Boavista,0.9,1.5,1.2,1,50.8,47.7,11.2,9.7,3.9,4.2,4.8,3.7,2.6,1.8,13.4,17.2,5.5,2.8,1.2,2.2,19.9,24.3,2.5,3,17.2,12.5,0.1,0.2,2.8,2.2,,,,,,,104.1,87.7,49.8,31,,,,,,,
14.01.2024 15:30,Oporto,SC Braga,1.5,2.7,2.1,1.5,65,54.4,17.8,15.3,5.8,6.1,8.5,5.7,3.5,3.4,14.2,15.7,8.5,6.1,2.8,0.7,26.2,23,1.7,3.6,12.5,12.9,0.2,0.1,3,2.7,,,,,,,143.7,117.4,80.3,61.4,,,,,,,
15.01.2024 15:15,V. Guimaraes,Arouca,2.2,1.3,1.7,1.3,50.1,45.8,12.1,11.8,4.9,4.3,5.1,4,2.1,3.5,11.4,16.2,6.1,3.7,2.1,1.5,19.9,22.7,2.5,2.8,15.2,14.8,0.1,0.7,2.6,3.7,,,,,,,116,87.5,48.2,38.7,,,,,,,
21.01.2024 11:00,Benfica,Boavista,1.8,1.5,2.2,1,65.7,47.7,20.3,9.7,7.5,4.2,8.2,3.7,4.7,1.8,13.5,17.2,10,2.8,2.3,2.2,21.2,24.3,2,3,11.2,12.5,0,0.2,2.3,2.2,,,,,,,138,87.7,96.3,31,,,,,,,
21.01.2024 11:00,Casa Pia,Farense,0.5,1.5,0.6,0.8,53,43,10.5,9.8,3,3.8,4.7,4.7,2.8,1.3,13.7,12.5,6.3,3.5,1.7,0.7,24.5,17.7,3.2,4.2,16.3,12.3,0,0.2,2.5,2.5,,,,,,,86.7,85.7,36.8,31.5,,,,,,,
21.01.2024 11:00,Chaves,Rio Ave,1.7,0.7,1.2,1.2,49.3,42.6,13.9,10.4,4.9,4.3,6.9,4.4,2.1,1.7,14.1,15.9,4.6,3.4,1.1,2.3,21.1,18.6,1.9,3.4,14.1,14.6,0.3,0,3.3,2.9,,,,,,,98.9,91.7,43.6,32.6,,,,,,,
21.01.2024 11:00,Estoril,Arouca,2.2,1.3,1.4,1.3,48.5,45.8,14.2,11.8,5.7,4.3,5.7,4,2.8,3.5,14.2,16.2,5,3.7,1.3,1.5,18.2,22.7,3.8,2.8,16.2,14.8,0,0.7,3,3.7,,,,,,,91.7,87.5,41.3,38.7,,,,,,,
21.01.2024 11:00,Famalicao,SC Braga,1,2.7,1,1.5,46.9,54.4,11.3,15.3,3.4,6.1,5.1,5.7,2.7,3.4,17.4,15.7,6.7,6.1,3,0.7,20,23,2.9,3.6,13.9,12.9,0.4,0.1,3.6,2.7,,,,,,,92.7,117.4,41.1,61.4,,,,,,,
