Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
31.01.2024 12:45,Charleroi,Eupen,1.6,0.8,1.4,0.7,49.3,44.9,13.3,9.4,4.1,3.5,9.2,5.9,,,15,13,6.1,3.6,2.4,2.4,17.4,17.7,3.4,4.7,9.8,12.8,0.2,0.1,2.4,2.3,438.9,414.9,,,,,112,77.3,56.7,34.4,,,,,,,
31.01.2024 12:45,Leuven,Genk,1.5,1.8,1.1,1.8,44.8,53.1,12.6,16.3,4.1,6.2,8.5,10,,1,20,8.5,6.2,5.5,1.9,2.4,18.5,20.9,3.7,3.2,11.4,13,0.1,0.1,2.9,2.7,361.1,452.3,,,,,93.5,109.5,40.4,60.7,,,,,,,
31.01.2024 15:00,Royale Union SG,RWDM,2.4,1,2,1,51,40.6,18.6,9.4,6.9,3.4,11.6,6,1,,12.5,19,5.7,1.9,2.2,1.5,15.9,15.1,2.2,3.6,12.5,13.1,0,0.3,1.7,2.2,435.6,372.6,,,,,111.5,80.1,62.6,27.4,,,,,,,
31.01.2024 15:00,St. Lieja,Antwerp,0.9,1.3,0.7,0.7,48.6,58,10.1,11.1,3.9,3.7,6.2,7.4,,,12,,4.1,5.2,1.8,1.8,18.9,19.7,3.9,2.7,11.4,10.2,0.1,0,1.8,1.5,426.5,546.9,,,,,111.7,113.9,50.9,56,,,,,,,
01.02.2024 14:30,KV Mechelen,Anderlecht,1,1.7,1,1.6,53.1,48.5,14.9,12.3,5.3,4.9,9.6,7.4,,,,17,5.2,4.2,2.2,2,17.5,15.2,2.7,3.5,10.1,12.5,0,0.2,1.6,2.7,492.8,456,,,,,110.2,97.2,56,52.7,,,,,,,
01.02.2024 14:30,St. Truiden,Gent,0.9,1.3,1.2,1.5,60,54.3,14.8,14.8,5.1,5.6,9.7,9.2,,,12,,5.5,6.5,2.2,1.3,17.7,20.8,2.5,2.7,8.2,10.5,0,0.2,1.1,1.4,603.2,493.6,,,,,118.3,111,46.7,57.2,,,,,,,
03.02.2024 10:00,RWDM,St. Lieja,1.2,1,0.8,0.8,46.8,48.1,10.5,11.4,5.1,3.6,5.4,7.8,,,12,16,4.2,3.6,1.5,2.1,17.4,17,4.4,3.4,10.9,11.5,0,0.3,2.1,1.9,429.1,445.2,,,,,101.9,102.8,39.6,42.4,,,,,,,
03.02.2024 12:15,Kortrijk,Charleroi,0.8,0.4,0.5,0.7,44,51,11.5,10.3,3.5,4,8,6.3,,,,12,4,5.3,1.1,1.9,17.9,16.8,3.8,4.4,11.1,13,0.2,0.1,2.5,1.6,399.9,476.3,,,,,106.2,115.5,41.3,50,,,,,,,
03.02.2024 12:15,Westerlo,Leuven,1.4,1,1.3,0.9,45.4,42.3,14.3,11.5,4,4.3,10.3,7.2,,,,10,4.9,4,1.8,1.7,18.1,16.8,4.5,3.8,10,11.5,0,0.1,1.5,2.4,418.5,348.7,,,,,89.4,86.7,48.6,41.6,,,,,,,
03.02.2024 14:45,Genk,Royale Union SG,2.3,2,2.4,1.6,53.4,49.8,19.3,15.9,6.5,6.2,12.8,9.7,,,13,10,5.2,7.1,2.2,2.5,22.3,17.6,2.5,2.1,10.2,12.6,0.2,0.1,1.6,2.4,484.2,439.6,,,,,119.5,120.3,72.9,60.4,,,,,,,
04.02.2024 07:30,Antwerp,Club Brujas,2.4,1.7,2.5,1.9,60.6,61.7,17.6,13.7,6.2,5.6,11.4,8.1,,,,,6.7,6.2,2.3,1.7,20.4,20.6,2.3,2.3,9.1,10.4,0,0,1.3,1.9,577.8,550.2,,,,,130.8,118.2,68.8,56.8,,,,,,,
04.02.2024 10:00,Eupen,KV Mechelen,1.3,1,0.9,1.1,42.6,49,10.6,11.9,3.4,4.6,7.2,7.3,,,11.5,10,4.6,3.4,2.2,1.7,19,16.8,4.2,4.3,11.8,11.3,0,0,1.4,2.1,409.2,493.2,,,,,81.2,98.4,38.9,47,,,,,,,
